name,path,entry_type,dataset_hint,protocol_hint,status_hint,registry_top_root_referenced,mtime_utc,raw_evidence_policy
cmd_hybrid_p0_20260717_v1,/private/results/cmd_hybrid_p0_20260717_v1,directory,ogsod,unknown,unclassified_keep,no,2026-07-16T19:08:36.335935+00:00,KEEP_IN_PLACE
cmd_hybrid_smoke_20260717_h_o_v2,/private/results/cmd_hybrid_smoke_20260717_h_o_v2,directory,ogsod,unknown,engineering_or_smoke,no,2026-07-16T18:01:36.157660+00:00,KEEP_IN_PLACE
cmd_hybrid_smoke_20260717_h_o_v3,/private/results/cmd_hybrid_smoke_20260717_h_o_v3,directory,ogsod,unknown,engineering_or_smoke,no,2026-07-16T18:02:02.057898+00:00,KEEP_IN_PLACE
cmd_hybrid_smoke_20260717_v1,/private/results/cmd_hybrid_smoke_20260717_v1,directory,ogsod,unknown,engineering_or_smoke,no,2026-07-16T17:52:58.361726+00:00,KEEP_IN_PLACE
cmd_hybrid_smoke_20260717_v2,/private/results/cmd_hybrid_smoke_20260717_v2,directory,ogsod,unknown,engineering_or_smoke,no,2026-07-16T17:57:55.586040+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v3,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v3,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-16T23:46:29.420786+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v3.bootstrap.log,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v3.bootstrap.log,file,other_or_unknown,unknown,unclassified_keep,no,2026-07-16T23:46:34.456282+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v3.scheduler.pid,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v3.scheduler.pid,file,other_or_unknown,unknown,unclassified_keep,no,2026-07-16T23:40:24.360783+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v4,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v4,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-17T00:11:41.308246+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v4.bootstrap.log,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v4.bootstrap.log,file,other_or_unknown,unknown,unclassified_keep,no,2026-07-17T00:12:08.608305+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v4.scheduler.pid,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v4.scheduler.pid,file,other_or_unknown,unknown,unclassified_keep,no,2026-07-17T00:04:56.451567+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v4_retry1,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v4_retry1,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-17T02:12:52.766675+00:00,KEEP_IN_PLACE
cmd_level_selective_p3_campaign_s42_20260717_v4_retry1.bootstrap.log,/private/results/cmd_level_selective_p3_campaign_s42_20260717_v4_retry1.bootstrap.log,file,other_or_unknown,unknown,unclassified_keep,no,2026-07-17T02:14:46.159046+00:00,KEEP_IN_PLACE
cprr,/private/results/cprr,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-16T19:28:07.951647+00:00,KEEP_IN_PLACE
dcr_preflight_dataset_cache_semantic_seal_20260717_v1.json,/private/results/dcr_preflight_dataset_cache_semantic_seal_20260717_v1.json,file,other_or_unknown,unknown,engineering_or_smoke,no,2026-07-17T03:33:10.400350+00:00,KEEP_IN_PLACE
dcr_preflight_dataset_content_seal_20260717_v1.json,/private/results/dcr_preflight_dataset_content_seal_20260717_v1.json,file,other_or_unknown,unknown,engineering_or_smoke,no,2026-07-17T03:26:55.988395+00:00,KEEP_IN_PLACE
dronevehicle_b0_native_hbb_cpu_gate_v2_acf8bf34_20260719,/private/results/dronevehicle_b0_native_hbb_cpu_gate_v2_acf8bf34_20260719,directory,other_or_unknown,unknown,engineering_or_smoke,no,2026-07-18T21:54:14.033753+00:00,KEEP_IN_PLACE
dronevehicle_b0_native_hbb_cpu_gate_v3_manifest_r2_attempt_r3_20260719,/private/results/dronevehicle_b0_native_hbb_cpu_gate_v3_manifest_r2_attempt_r3_20260719,directory,other_or_unknown,unknown,engineering_or_smoke,no,2026-07-19T01:19:41.134246+00:00,KEEP_IN_PLACE
dronevehicle_b0_native_hbb_cpu_gate_v3_snapshot_r1_20260719,/private/results/dronevehicle_b0_native_hbb_cpu_gate_v3_snapshot_r1_20260719,directory,other_or_unknown,unknown,engineering_or_smoke,no,2026-07-18T23:23:29.141309+00:00,KEEP_IN_PLACE
dronevehicle_b0_native_hbb_views_v2_acf8bf34_20260719,/private/results/dronevehicle_b0_native_hbb_views_v2_acf8bf34_20260719,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-18T21:43:56.681198+00:00,KEEP_IN_PLACE
dronevehicle_b0_native_hbb_views_v3_manifest_r2_attempt_r3_20260719,/private/results/dronevehicle_b0_native_hbb_views_v3_manifest_r2_attempt_r3_20260719,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-19T01:31:57.689832+00:00,KEEP_IN_PLACE
dronevehicle_b0_native_hbb_views_v3_snapshot_r1_20260719,/private/results/dronevehicle_b0_native_hbb_views_v3_snapshot_r1_20260719,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-18T23:23:26.271224+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_ops_sha50fb_20260719,/private/results/dronevehicle_hbb_audit_ops_sha50fb_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T17:22:43.761024+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_ops_v3_shae53b_recovery2_20260719,/private/results/dronevehicle_hbb_audit_ops_v3_shae53b_recovery2_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T17:51:40.256116+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_ops_v5_sha1bea_recovery4_20260719,/private/results/dronevehicle_hbb_audit_ops_v5_sha1bea_recovery4_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T18:52:09.688580+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_ops_v5_sha1bea_recovery5_20260719,/private/results/dronevehicle_hbb_audit_ops_v5_sha1bea_recovery5_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T19:19:42.514408+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_v3_shae53b_recovery2_20260719,/private/results/dronevehicle_hbb_audit_v3_shae53b_recovery2_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T17:52:11.644457+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_v5_sha1bea_recovery4_20260719,/private/results/dronevehicle_hbb_audit_v5_sha1bea_recovery4_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T18:41:08.192126+00:00,KEEP_IN_PLACE
dronevehicle_hbb_audit_v5_sha1bea_recovery5_20260719,/private/results/dronevehicle_hbb_audit_v5_sha1bea_recovery5_20260719,directory,other_or_unknown,unknown,analysis_or_audit,no,2026-07-18T19:10:08.648261+00:00,KEEP_IN_PLACE
dronevehicle_hbb_materialize_ops_v5_sha1bea_mat_r1_20260719,/private/results/dronevehicle_hbb_materialize_ops_v5_sha1bea_mat_r1_20260719,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-18T20:49:49.915972+00:00,KEEP_IN_PLACE
hf_hs_p2_confirmation_scheduler_20260717.log,/private/results/hf_hs_p2_confirmation_scheduler_20260717.log,file,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T20:43:30.445264+00:00,KEEP_IN_PLACE
hf_hs_p2_confirmation_scheduler_20260717_retry1.log,/private/results/hf_hs_p2_confirmation_scheduler_20260717_retry1.log,file,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T20:44:11.811635+00:00,KEEP_IN_PLACE
hf_hs_p2_confirmation_scheduler_20260717_retry2.log,/private/results/hf_hs_p2_confirmation_scheduler_20260717_retry2.log,file,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T22:15:43.922663+00:00,KEEP_IN_PLACE
hf_hs_p2_full_watcher_20260717.log,/private/results/hf_hs_p2_full_watcher_20260717.log,file,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T20:28:42.806854+00:00,KEEP_IN_PLACE
hf_hs_p2_full_watcher_20260717.pid,/private/results/hf_hs_p2_full_watcher_20260717.pid,file,ogsod,ogsod_direct50_hf_hs,unclassified_keep,no,2026-07-16T19:37:05.475328+00:00,KEEP_IN_PLACE
hf_hs_p2_smoke_quick_scheduler_20260717.log,/private/results/hf_hs_p2_smoke_quick_scheduler_20260717.log,file,ogsod,ogsod_direct50_hf_hs,engineering_or_smoke,no,2026-07-16T19:52:50.716365+00:00,KEEP_IN_PLACE
hf_hs_p2_smoke_quick_scheduler_20260717.pid,/private/results/hf_hs_p2_smoke_quick_scheduler_20260717.pid,file,ogsod,ogsod_direct50_hf_hs,engineering_or_smoke,no,2026-07-16T19:37:05.473404+00:00,KEEP_IN_PLACE
launch_logs,/private/results/launch_logs,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-17T02:45:29.093474+00:00,KEEP_IN_PLACE
level_q5_dataset_manifest_precompute_20260717_v3,/private/results/level_q5_dataset_manifest_precompute_20260717_v3,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-16T21:49:18.600792+00:00,KEEP_IN_PLACE
level_q5_dependency_preview_20260717_v3,/private/results/level_q5_dependency_preview_20260717_v3,directory,other_or_unknown,unknown,unclassified_keep,no,2026-07-16T21:53:50.609856+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_capacity_handoff_lock6def_gate94f1_20260719,/private/results/mm_arcs_confirmation_capacity_handoff_lock6def_gate94f1_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-19T04:48:57.681869+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_exact400_lock6def_gate94f1_capacity_handoff_20260719,/private/results/mm_arcs_confirmation_exact400_lock6def_gate94f1_capacity_handoff_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-19T04:48:46.352895+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_exact_dryrun_lock6def_gate94f1_manual_recovery5_20260719,/private/results/mm_arcs_confirmation_exact_dryrun_lock6def_gate94f1_manual_recovery5_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T17:07:46.200648+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_full_dryrun_lock6def_manual_recovery5_20260719,/private/results/mm_arcs_confirmation_full_dryrun_lock6def_manual_recovery5_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:48:22.554078+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_fullsmoke_dryrun_lockbd2_recovery4_20260719,/private/results/mm_arcs_confirmation_fullsmoke_dryrun_lockbd2_recovery4_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:20:23.114578+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_fullsmoke_lock6def_manual_recovery5_20260719,/private/results/mm_arcs_confirmation_fullsmoke_lock6def_manual_recovery5_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:52:47.535035+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_fullsmoke_lock9d0_manual_recovery3_20260718,/private/results/mm_arcs_confirmation_fullsmoke_lock9d0_manual_recovery3_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T12:48:21.026572+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_fullsmoke_lockbd2_manual_recovery4_20260719,/private/results/mm_arcs_confirmation_fullsmoke_lockbd2_manual_recovery4_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:23:16.153425+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_gate_lock6def_manual_recovery5_20260719.json,/private/results/mm_arcs_confirmation_gate_lock6def_manual_recovery5_20260719.json,file,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T17:00:50.562836+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_20260718,/private/results/mm_arcs_confirmation_handoff_lock9d0_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:44:00.376257+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery1.stderr.log,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery1.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:46:50.524764+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery1.stdout.log,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery1.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:56:53.318681+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery1_20260718,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery1_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:56:53.290815+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery2_20260718,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery2_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:06:18.254874+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery2_20260718.stderr.log,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery2_20260718.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T10:01:15.946857+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery2_20260718.stdout.log,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery2_20260718.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:06:18.283195+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery3_20260718,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery3_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:48:21.119131+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery3_20260718.stderr.log,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery3_20260718.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:42:29.661667+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lock9d0_manual_recovery3_20260718.stdout.log,/private/results/mm_arcs_confirmation_handoff_lock9d0_manual_recovery3_20260718.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:48:21.146550+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_handoff_lockbd2_manual_recovery4_20260719,/private/results/mm_arcs_confirmation_handoff_lockbd2_manual_recovery4_20260719,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T16:34:57.609864+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_remote_dryrun_full_lock9d0_20260718,/private/results/mm_arcs_confirmation_remote_dryrun_full_lock9d0_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T23:21:48.769703+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_remote_dryrun_full_lock9d0_retry_20260718,/private/results/mm_arcs_confirmation_remote_dryrun_full_lock9d0_retry_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T23:23:05.161382+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_remote_dryrun_short_lock9d0_20260718,/private/results/mm_arcs_confirmation_remote_dryrun_short_lock9d0_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T23:21:23.035279+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_remote_single_p_dryrun_lock9d0_20260718,/private/results/mm_arcs_confirmation_remote_single_p_dryrun_lock9d0_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T23:22:23.070918+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_remote_single_u_dryrun_lock9d0_20260718,/private/results/mm_arcs_confirmation_remote_single_u_dryrun_lock9d0_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T23:22:30.114302+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_short_dryrun_lock6def_manual_recovery5_20260719,/private/results/mm_arcs_confirmation_short_dryrun_lock6def_manual_recovery5_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:47:57.855317+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_short_dryrun_lockbd2_recovery4_20260719,/private/results/mm_arcs_confirmation_short_dryrun_lockbd2_recovery4_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:19:58.476315+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_short_smoke_lock6def_manual_recovery5_20260719,/private/results/mm_arcs_confirmation_short_smoke_lock6def_manual_recovery5_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:49:30.086044+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_short_smoke_lock9d0_manual_recovery3_20260718,/private/results/mm_arcs_confirmation_short_smoke_lock9d0_manual_recovery3_20260718,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T12:47:55.654583+00:00,KEEP_IN_PLACE
mm_arcs_confirmation_short_smoke_lockbd2_manual_recovery4_20260719,/private/results/mm_arcs_confirmation_short_smoke_lockbd2_manual_recovery4_20260719,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-18T16:22:44.002014+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_20260718,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:43:35.216792+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery1.stderr.log,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery1.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:46:22.713018+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery1.stdout.log,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery1.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:56:24.757738+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery1_20260718,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery1_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:56:24.731740+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery2.stderr.log,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery2.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:58:42.697786+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery2.stdout.log,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery2.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:04:45.675830+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery2_20260718,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery2_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:04:45.647167+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery3_20260718,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery3_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:47:19.651087+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery3_20260718.stderr.log,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery3_20260718.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:41:37.605046+00:00,KEEP_IN_PLACE
mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery3_20260718.stdout.log,/private/results/mm_arcs_r2a_epoch50_watch_d3cc1a_manual_recovery3_20260718.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T12:47:19.688935+00:00,KEEP_IN_PLACE
mm_arcs_r2a_exact400_s42_lock71835_final_analysis_codex_r1_20260719,/private/results/mm_arcs_r2a_exact400_s42_lock71835_final_analysis_codex_r1_20260719,directory,ogsod,ogsod_exact400_mm_arcs,analysis_or_audit,no,2026-07-19T07:26:17.916419+00:00,KEEP_IN_PLACE
mm_arcs_r2a_exact400_s42_lock71835_final_analysis_codex_r2_20260719,/private/results/mm_arcs_r2a_exact400_s42_lock71835_final_analysis_codex_r2_20260719,directory,ogsod,ogsod_exact400_mm_arcs,analysis_or_audit,no,2026-07-19T07:28:28.880982+00:00,KEEP_IN_PLACE
mm_arcs_r2a_exact400_s42_lock71835_final_analysis_codex_r3_20260719,/private/results/mm_arcs_r2a_exact400_s42_lock71835_final_analysis_codex_r3_20260719,directory,ogsod,ogsod_exact400_mm_arcs,analysis_or_audit,no,2026-07-19T07:30:24.083065+00:00,KEEP_IN_PLACE
mm_arcs_r2a_exact400_s42_lock71835_manual_recovery1_20260718,/private/results/mm_arcs_r2a_exact400_s42_lock71835_manual_recovery1_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:46:04.813463+00:00,KEEP_IN_PLACE
mm_arcs_r2a_exact400_s42_lock71835_scannerfix_b48f8a_20260718,/private/results/mm_arcs_r2a_exact400_s42_lock71835_scannerfix_b48f8a_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T09:35:14.672187+00:00,KEEP_IN_PLACE
mm_arcs_r2a_gate_preflight_20260718T0455,/private/results/mm_arcs_r2a_gate_preflight_20260718T0455,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T20:53:10.999622+00:00,KEEP_IN_PLACE
mm_arcs_r2a_gate_v2_lock71835_20260718T0530,/private/results/mm_arcs_r2a_gate_v2_lock71835_20260718T0530,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T21:32:38.303501+00:00,KEEP_IN_PLACE
mm_arcs_r2a_gate_v2_lock71835_preflight_20260718T0528,/private/results/mm_arcs_r2a_gate_v2_lock71835_preflight_20260718T0528,directory,ogsod,ogsod_exact400_mm_arcs,engineering_or_smoke,no,2026-07-17T21:27:32.093085+00:00,KEEP_IN_PLACE
mm_arcs_r2a_handoff_lock71835_20260718T0545,/private/results/mm_arcs_r2a_handoff_lock71835_20260718T0545,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-17T21:56:47.369634+00:00,KEEP_IN_PLACE
mm_arcs_r2a_handoff_lock71835_20260718T0545.once.stderr.log,/private/results/mm_arcs_r2a_handoff_lock71835_20260718T0545.once.stderr.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-17T21:50:35.350171+00:00,KEEP_IN_PLACE
mm_arcs_r2a_handoff_lock71835_20260718T0545.once.stdout.log,/private/results/mm_arcs_r2a_handoff_lock71835_20260718T0545.once.stdout.log,file,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-17T21:50:36.590668+00:00,KEEP_IN_PLACE
mm_arcs_r2a_handoff_lock71835_scannerfix_b48f8a_20260718,/private/results/mm_arcs_r2a_handoff_lock71835_scannerfix_b48f8a_20260718,directory,ogsod,ogsod_exact400_mm_arcs,unclassified_keep,no,2026-07-18T08:44:15.528993+00:00,KEEP_IN_PLACE
