dataset,family,phase,unit,objects,unique_units,top1_objects,top5_objects,top1_fraction,top5_fraction,top5_units,unknown_group_objects,denominator
dronevehicle,C0_C1,base,group,28297,68,9297,16189,0.32855072975933847,0.5721101176803195,"[""B"", ""image"", ""modalA"", ""A"", ""100MEDIA""]",0,objects_in_this_family_and_phase
dronevehicle,C0_C1,base,image,28297,1973,107,518,0.003781319574513199,0.018305827472876984,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15097.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16718.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15324.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/17745.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16706.jpg""]",0,objects_in_this_family_and_phase
dronevehicle,C0_C1,eligible,group,15616,67,6463,9917,0.4138703893442623,0.6350537909836066,"[""B"", ""image"", ""modalA"", ""A"", ""39_120m45_2""]",0,objects_in_this_family_and_phase
dronevehicle,C0_C1,eligible,image,15616,1826,92,430,0.00589139344262295,0.027535860655737706,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16718.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15719.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16706.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/14821.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/17745.jpg""]",0,objects_in_this_family_and_phase
dronevehicle,C0_C1,selected,group,7821,64,3897,5629,0.4982738780207135,0.7197289349188083,"[""B"", ""image"", ""A"", ""39_120m45_2"", ""modalA""]",0,objects_in_this_family_and_phase
dronevehicle,C0_C1,selected,image,7821,1317,75,321,0.009589566551591868,0.04104334484081319,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/14821.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16718.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/17852.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15719.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16391.jpg""]",0,objects_in_this_family_and_phase
dronevehicle,L_UNVERIFIED,base,group,21488,68,7080,12388,0.3294862248696947,0.5765078183172003,"[""B"", ""image"", ""modalA"", ""A"", ""100MEDIA""]",0,objects_in_this_family_and_phase
dronevehicle,L_UNVERIFIED,base,image,21488,1828,119,502,0.005537974683544304,0.02336187639612807,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16718.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16706.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/17852.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15625.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/11743.jpg""]",0,objects_in_this_family_and_phase
dronevehicle,L_UNVERIFIED,selected,group,602,31,364,518,0.6046511627906976,0.8604651162790697,"[""B"", ""39_120m45_2"", ""image"", ""A"", ""321_80_45_2""]",0,objects_in_this_family_and_phase
dronevehicle,L_UNVERIFIED,selected,image,602,268,19,62,0.03156146179401993,0.10299003322259136,"[""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15719.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/16632.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/15324.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/10467.jpg"", ""/mnt/dataset/yudongfang/projects/RGBT_campaign/data/processed/dronevehicle/yolo/hbb_v1/rgb/images/train/14113.jpg""]",0,objects_in_this_family_and_phase
