dataset,family,phase,unit,identity,objects
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/110316.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/130040.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/130165.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/130235.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/130247.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/130346.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/130471.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/140292.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/140293.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/140296.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/150103.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/180057.jpg,6
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020082.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020222.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020232.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020238.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/020288.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030046.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030086.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030295.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030351.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/030418.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050035.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050067.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050106.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050147.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050234.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050241.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/050384.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060032.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060039.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060112.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060124.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060145.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060162.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060167.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060179.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060211.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060216.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060257.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060294.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060320.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060324.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060399.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060412.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060421.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060468.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060507.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/060512.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080014.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080056.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080090.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080096.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080210.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080266.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080268.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080310.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080341.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080359.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080404.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080417.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080425.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080432.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080462.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080470.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080473.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080555.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080575.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080577.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080630.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080682.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/080916.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081123.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081154.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081229.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081235.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081240.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081250.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081344.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081377.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/081508.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090126.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090138.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090262.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090299.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090364.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090424.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090445.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090668.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090730.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090756.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090800.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090808.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090920.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090931.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090932.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090953.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/090965.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091108.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/091235.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/100097.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/100806.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/100961.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/101181.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/110036.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/110085.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/110372.jpg,5
llvip,C0_C1,base,image,/mnt/dataset/yudongfang/projects/RGBT_campaign/data/raw/LLVIP/visible/train/110481.jpg,5
